Optional; From FLIMS,Optional; From FLIMS,"YBFMP (SHR, STTD, LIS); NDFA (All others); Shared (SHR, STTD, LIS during NDFS season)",Our station codes,From FLIMS/WDL. See Station Name to Number Tab.,Use sample code from FLIMS/WDL to connect field data and lab data,"Sampling Date; one station code-date/time combination per ""Sampling""","Sampling Time; one station code-date/time combination per ""Sampling""","Optional; for duplicate/replicate FIELD samples; individual sample numbers can be different between field and lab data, and can have two different times. Leave blank if NA.",Optional; for duplicate/replicate FIELD samples; individual sample collection date/time can be different between field and lab data. Leave blank if NA.,Optional; E.g. for duplicates/replicates or if we were collecting at different depths; individual sample collection date/time can be different between field and lab data. Leave blank if NA.,Should all be FIELD,,TRUE/FALSE,,,YSI Number,,,,,,,,,,,,,,,,,,,,,,Data Type Collected? True/False,Data Type Collected? True/False,Data Type Collected? True/False,Data Type Collected? True/False,Data Type Collected? True/False,Data Type Collected? True/False,Data Type Collected? True/False,Data Type Collected? True/False,Comments pertaining to WQ collection,Anything important to note that was corrected from field sheet or during QAQC,,
Run Number ,Run Name,Measuring Program Name,Station Name,Station Number,Sampling Number (event),WDL SAM_COLLECTION_DATE,Collection Time,Sample Number,Sample Date,Sample Time,LabOrField,Recorder,Field Check,FieldChecker,Crew,YSI,WeatherCode,secchi,water.temp,DO.probe,sp.cond,EC,pH,Tide,FlowDirection,microcyst,VegRank,turb,SurfaceIrr,Depth1Irr,Depth2Irr,Depth3Irr,Depth4Irr,SubIrr1,SubIrr2,SubIrr3,SubIrr4,LightData,DriftData,LarvalData,150_ZoopsData,50_ZoopsData,PhytoData,ChlData,NutrData,FieldComments_WQ,DataCorrectionComments,EnteredBy,QAQCBy
,,,,,WDL_SAM Code,"mm/dd/yyyy 2 digits per month, day",hh:mm (PST) ,,"mm/dd/yyyy 2 digits per month, day",hh:mm (PST),,,Boolean,,,SCAL,SCAL,M,DEGC,MGL,MISM,MISM,SCAL,Tide,U/D/N,SCAL,SCAL,FNU,M,M,M,M,M,UMSM,UMSM,UMSM,UMSM,BOOLEAN,BOOLEAN,BOOLEAN,BOOLEAN,BOOLEAN,BOOLEAN,BOOLEAN,BOOLEAN,,,,
,,NDFS,DWT,,ES0921B0209,09/27/2021,8:09,,,,FIELD,ehubbard,TRUE,cpien,"ldixit, cpien",3,CLR,0.10,19.4,4.44,877,782,7.48,Flood,,1,3,87.1,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,couldn’t sample a meter deep because it was too shallow,,ehubbard,pfarman
,,NDFS,I80,,ES0921B0210,09/27/2021,8:45,,,,FIELD,ehubbard,TRUE,ldixit,"ldixit, cpien",3,CLR,0.82,19.1,0.08,858,762,7.42,Flood,,1,3,9.4,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"took sample under overpass, veg too dense in other location",,ehubbard,pfarman
,,Shared,LIS,,ES0921B0211,09/27/2021,9:44,,,,FIELD,cpien,TRUE,ldixit,"ldixit, ehubbard",3,CLR,0.24,20.1,7.84,274,249,7.95,Flood,,2,1,31,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,ehubbard,pfarman
,,Shared,STTD,,ES0921B0212,09/28/2021,11:25,,,,FIELD,mgilbert,TRUE,gbigham,"mgilber,gbigham,PV,jrobinson",2,CLR,0.75,19.1,8.08,143,216,8.36,Flood,,1,2,13.8,2114,0.05,0.16,0.85,2.19,1579.1,1053,521.5,70.03,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,,ehubbard,pfarman
,,NDFS,BL5,,ES0921B0213,09/28/2021,10:20,,,,FIELD,mgilbert,TRUE,gbigham,"mgilber,gbigham,PV,jrobinson",2,CLR,1.18,19.8,8.58,212,191,8.29,Flood,,2,1,11.8,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,ehubbard,pfarman
,,NDFS,PRS,,ES0921B0214,09/28/2021,9:40,,,,FIELD,mgilbert,TRUE,gbigham,"mgilber,gbigham,PV,jrobinson",2,CLR,1.07,19.9,8.63,209,189,8.28,Slack,,1,1,11,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,Corrected tide,ehubbard,pfarman
,,NDFS,LIB,,ES0921B0215,09/28/2021,9:08,,,,FIELD,mgilbert,TRUE,gbigham,"mgilber,gbigham,PV,jrobinson",2,CLR,1.53,20.1,8.61,207,187,8.25,Flood,,1,1,10.3,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,ehubbard,pfarman
,,NDFS,RYI,,ES0921B0216,09/28/2021,8:16,,,,FIELD,mgilbert,TRUE,gbigham,"mgilber,gbigham,PV,jrobinson",2,CLR,1.40,20.4,8.6,192,175,8.11,Flood,,2,1,9.9,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,microcyctis took from zoop ,,ehubbard,pfarman
,,NDFS,RVB,,ES0921B0217,09/28/2021,7:15,,,,FIELD,mgilbert,TRUE,gbigham,"mgilber,gbigham,PV,jrobinson",3,CLR,1.55,20.6,8.52,210,192,8.07,Flood,,1,1,10.1,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,Corrected YSI number ,ehubbard,pfarman
,,Shared,SHR,,ES0921B0218,09/28/2021,8:10,,,,FIELD,nikemiyagi,TRUE,pfarman,"pfarman, abrady",2,CLD,3.00,20.1,8.62,137,124,7.96,Flood,,1,1,3.3,1731.5,0.04,0.06,0.63,2.19,1204,861,456,161,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,,ehubbard,pfarman
,,NDFS,RMB,,ES1021B0260,10/11/2021,9:46,,,,FIELD,mbedwell,TRUE,ldixit,"nikemiyagi, ldixit",3,WND,0.19,16.2,8.23,650,540,8.03,NA,,1,2,38.2,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,ldixit,ehubbard
,,NDFS,WWT,,ES1021B0261,10/11/2021,8:42,,,,FIELD,ldixit,TRUE,nikemiyagi,"nikemiyagi, ldixit, mbedwell",3,WND,NA,18.3,4.74,856,746,7.45,NA,,1,3,13.4,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,ldixit,ehubbard
,,NDFS,RD22,,ES1021B0262,10/11/2021,7:20,,,,FIELD,mbedwell,TRUE,ldixit,"nikemiyagi, ldixit",3,WND,0.43,17.2,3.76,861,733,7.63,NA,,1,3,29.8,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,ldixit,ehubbard
,,NDFS,I80,,ES1021B0264,10/11/2021,8:40,,,,FIELD,ehubbard,TRUE ,abrady,"abrady, jrobinson",1,CLR,NA,15.9,1.01,332,274,6.87,NA,,1,2,7.8,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"Also, can't get a meter down for water grabs, secchi hit bottom. Not enough water for zooplankton tow (too much veg)",,ldixit,ehubbard
,,Shared,LIS,,ES1021B0265,10/11/2021,9:34,,,,FIELD,jrobinson,TRUE ,abrady,"abrady, ehubbard",1,CLR,0.31,16.7,8.58,235,198,8.04,Flood,,1,1,22.6,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,"super windy!, ran out of LIS water during filtering, used quart LIS water + 1 DI water to rinse, filled 40 ml glass amber with Quart water.",,ldixit,ehubbard
,,Shared,STTD,,ES1021B0266,10/13/2021,11:07,,,,FIELD,gbigham,TRUE,mbedwell,"mbedwell, pv, mgilbert",1,CLR,0.64,14.0,9.42,2248,1777,8.15,Flood,,1,1,12.2,2262,0.03,0.16,0.43,1.34,1668.85,1137,561,22.1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,,ldixit,ehubbard
,,NDFS,BL5,,ES1021B0267,10/13/2021,9:58,,,,FIELD,gbigham,TRUE ,mgilbert,"mbedwell, pv, mgilbert",1,CLD,0.65,15.0,9.11,196,159,7.99,Flood,,1,2,13.6,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,ldixit,ehubbard
,,NDFS,PRS,,ES1021B0268,10/13/2021,9:28,,,,FIELD,gbigham,TRUE ,mgilbert,"mbedwell, pv, mgilbert",1,CLD,0.66,15.5,9.14,192,157,8.02,Flood,,1,1,11.4,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,ldixit,ehubbard
,,NDFS,LIB,,ES1021B0269,10/13/2021,8:48,,,,FIELD,gbigham,TRUE,mgilbert,"mbedwell, pv, mgilbert",1,CLR,0.87,15.6,9.16,190,156,8.62,Flood,,1,1,9.8,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,ldixit,ehubbard
,,NDFS,RYI,,ES1021B0270,10/13/2021,8:14,,,,FIELD,gbigham,TRUE,mgilbert,"mbedwell, pv, mgilbert",1,CLD,0.77,15.8,9.17,183,151,8.02,Flood,,1,1,9.4,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,ldixit,ehubbard
,,NDFS,RVB,,ES1021B0271,10/13/2021,7:09,,,,FIELD,gbigham,TRUE ,mgilbert,"mbedwell, pv, mgilbert",1,CLD,0.95,16.3,9.11,194,161,8.01,Flood,,1,1,7.8,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,completed 2 tows for QC,,ldixit,ehubbard
,,Shared,SHR,,ES1021B0272,10/12/2021,8:24,,,,FIELD,abrady,TRUE,ldixit,"abrady, ldixit, nikemiyagi",3,CLR,2.79,15.3,9.45,134,109,7.99,Flood,,1,1,8.4,1971.8,0.05,0.07,0.98,2.19,1479,986.5,494.9,230.3,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,LCV corrected date from 10/13/2021 to 10/12/2021 to match datasheet,ldixit,ehubbard
,,YBFMP,SHR,,ES1021B0280,10/18/2021,8:23,,,,FIELD,mbedwell,TRUE,nikemiyagi,"nikemiyagi, ehubbard",3,CLR,4.30,15.5,9.6,136,111,7.98,Ebb,,1,1,3.8,1983.5,0.18,0.5,0.68,2.19,1499.8,1006.2,500.8,232.5,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,,ehubbard,abrady
,,YBFMP,STTD,,ES1021B0278,10/19/2021,8:13,,,,FIELD,abrady,TRUE,jrobinson,"jrobinson, mbedwell",1,CLR,1.00,16.3,9.73,197,164,7.71,Ebb,,1,2,8.6,1829.2,0.02,0.12,0.5,1.4,1362.5,916.7,459.6,18.5,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,,ehubbard,abrady
,,YBFMP,LIS,,ES1021B0279,10/19/2021,11:12,,,,FIELD,mbedwell,TRUE,jrobinson,"jrobinson, abrady",1,CLD,0.38,15.8,8.68,240,198,7.96,Ebb,,1,2,18.8,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,,ehubbard,abrady
,,YBFMP,SHR,,ES1121B0288,11/01/2021,8:31,,,,FIELD,jrobinson,TRUE,mbedwell,"mbedwell, ehubbard",1,CLD,0.85,16.0,7.82,194,161,7.23,Ebb,,1,2,11.9,592,0.02,0.05,0.24,1.7,443.5,297.9,149.2,5.62,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"high silt, had to shorten tows",,ehubbard,abrady
,,YBFMP,STTD,,ES1121B0286,11/02/2021,8:53,,,,FIELD,jrobinson,TRUE,mbedwell,"nikemiyagi, mbedwell",3,CLD,0.52,16.5,1.11,454,381,7.17,Ebb,,1,3,17.8,978.8,0.01,0.04,0.07,0.82,735.1,480.5,246.2,9.7,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,had to redo drift tow due to high Azula. Moved to port side and 5 min. lots of duckweed. Couldn't fit into bottle.,,ehubbard,abrady
,,YBFMP,LIS,,ES1121B0287,11/02/2021,12:38,,,,FIELD,mbedwell,TRUE,jrobinson,"nikemiyagi, jrobinson",3,CLD,0.78,17.0,4.94,458,388,7.26,Flood,,1,2,14.1,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,,ehubbard,abrady
,,YBFMP,SHR,,ES1121B0296,11/15/2021,10:05,,,,FIELD,pfarman,TRUE,abrady,"abrady, nikemiyagi",1,CLD,0.8,13.7,8.98,183,144,7.42,Ebb,,1,2,12.9,318.9,0.01,0.05,0.28,0.53,238.2,158.5,79.4,3.19,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,,ehubbard,abrady
,,YBFMP,STTD,,ES1121B0294,11/16/2021,9:48,,,,FIELD,ehubbard,TRUE,mbedwell,"mbedwell, abrady",1,FOG,0.72,14.5,1.14,541,432,7.34,Ebb,,1,2,5.2,189.6,0.04,0.05,0.25,1.28,142.6,94.86,47.03,1.86,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"Towed at slack, Tried 50um 4 times, couldn’t get enough revs",,ehubbard,abrady
,,YBFMP,LIS,,ES1121B0295,11/16/2021,12:58,,,,FIELD,ehubbard,TRUE,mbedwell,"mbedwell, abrady",1,CLD,0.44,14.4,3.37,509,407,7.5,Flood,,1,2,11.7,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,,ehubbard,pfarman
,,YBFMP,SHR,,ES1121B0304,11/29/2021,9:19,,,,FIELD,JRobinson,TRUE,pfarman,"abrady,pfarman",1,CLR,1.05,11.7,10.24,190,141,7.56,Flood,,1,1,5.5,1784.4,0.04,0.06,0.51,2.19,1327.7,882,441.1,56.6,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,,abrady,ehubbard
,,YBFMP,STTD,,ES1121B0302,11/30/2021,9:30,,,,FIELD,ehubbard,TRUE ,jrobinson,"jrobinson, cpien",3,FOG,0.89,12.1,7.74,429,323,7.69,Flood,,1,2,9.7,716.8,0.01,0.03,0.24,1.67,560.2,358.5,171.1,8.49,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,,abrady,ehubbard
,,YBFMP,LIS,,ES1121B0303,11/30/2021,12:35,,,,FIELD,cpien,TRUE ,ehubbard,"ehubbard,jrobinson",3,CLD,0.45,12.9,3.86,705,543,7.5,EBB,,1,2,19.2,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,,abrady,ehubbard
,,YBFMP,SHR,,ES1221B0312,12/13/2021,9:21,,,,FIELD,jrobinson,TRUE ,mbedwell,"mbedwell, abrady",3,RAN,1.30,10.1,10.71,197,141,7.76,Ebb,,1,1,9.5,139.9,0.06,0.1,0.7,2.19,101.47,69.08,35.71,8.8,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"Water was choppy, took average at depth for light attenuation",,ehubbard,pfarman
,,YBFMP,STTD,,ES1221B0310,12/14/2021,10:25,,,,FIELD,abrady,TRUE,nikemiyagi,"mbedwell, nikemiyagi",3,CLR,0.38,9.8,8.6,550,390,7.73,Flood,,,2,20.4,2102,0.03,0.05,0.21,1.12,1577.2,1051,530.6,21.02,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,Fixed depth irr 1 ,ehubbard,pfarman
,,YBFMP,LIS,,ES1221B0311,12/14/2021,15:26,,,,FIELD,abrady,TRUE,mbedwell,"mbedwell, nikemiyagi",3,CLR,0.11,10.2,7.82,285,204,7.6,Ebb,,1,1,126.9,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,,ehubbard,pfarman
,,YBFMP,SHR,,ES1221B0320,12/27/2021,10:18,,,,FIELD,ehubbard,TRUE,nikemiyagi,"mbedwell, nikemiyagi",1,CLD,0.23,8.5,10.6,131,90,7.47,Flood,,1,1,44.1,1289.3,0.05,0.07,0.1,0.71,970.1,632.1,326.3,12.88,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"high silt, had to shorten tows",,ehubbard,pfarman
,,YBFMP,STTD,,ES1221B0318,12/28/2021,10:48,,,,FIELD,ehubbard,TRUE,nikemiyagi,"mbedwell, nikemiyagi",1,CLD,0.14,8.0,8.84,500,337,7.59,Flood,,1,2,75.7,1338.6,0.02,0.05,0.11,0.48,1003.5,654.5,331.3,13.12,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,lots of azula,,ehubbard,pfarman
,,YBFMP,LIS,,ES1221B0319,12/28/2021,14:47,,,,FIELD,ehubbard,TRUE,mbedwell,"mbedwell, nikemiyagi",1,CLD,0.15,8.4,8.72,518,353,7.71,High,,1,2,86.4,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,,ehubbard,pfarman
,,YBFMP,SHR,,ES0122B0003,01/11/2022,9:14,,,,FIELD,jrobinson,TRUE,pfarman,"pfarman, mbedwell",1,CLR,0.47,9.3,10.95,169,118,7.47,Up,,1,2,16.8,1592.5,0.03,0.05,0.32,1.48,1194.5,787.1,386.8,16.05,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,"Data sheet says Up tide, but flood was entered, likely should be flood as we were still discussing tide codes at the time this data was taken ",ehubbard,pfarman
,,YBFMP,STTD,,ES0122B0001,01/10/2022,10:54,,,,FIELD,abrady,TRUE,mbedwell,"mbedwell, jrobinson",1,CLR,0.33,9.9,7.98,662,475,7.6,Flood,,1,2,17.9,2287,0.01,0.03,0.17,1.33,1715.2,1146.8,571.11,22.72,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,ehubbard,pfarman
,,YBFMP,LIS,,ES0122B0002,01/10/2022,13:44,,,,FIELD,jrobinson,TRUE,abrady,"mbedwell, abrady",1,CLR,0.27,10.3,7.34,677,486,7.7,Flood,,1,2,25.5,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,,ehubbard,pfarman
,,YBFMP,SHR,,ES0122B0011,01/25/2022,9:28,,,,FIELD,mbedwell,TRUE,jrobinson,"abrady, jrobinson",1,CLR,1.60,9.3,11.31,172,121,7.68,Flood,,1,1,5.1,1980,0.03,0.4,0.48,2.19,1482,991,494.7,70.6,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,end of pole,added field comment ,ehubbard,pfarman
,,YBFMP,STTD,,ES0122B0009,01/24/2022,12:33,,,,FIELD,pfarman,TRUE ,ehubbard,"abrady, ehubbard, nikemiyagi, jrobinson",1,CLR,0.64,10.3,10.34,687,494,7.97,Ebb,,1,2,8.4,2144,0.06,0.17,0.51,2.19,1692,1078,536.4,27.8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,ehubbard,pfarman
,,YBFMP,LIS,,ES0122B0010,01/24/2022,15:38,,,,FIELD,ehubbard,TRUE,pfarman,"nikemiyagi, pfarman",1,CLR,0.30,10.5,9.95,695,502,7.95,Ebb,D,1,2,18.7,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,,ehubbard,pfarman
,,YBFMP,SHR,,ES0222B0019,02/08/2022,9:38,,,,FIELD,abrady,TRUE ,strombely,"mbedwell, strombly",3,CLR,1.34,9.9,11.42,161,115,7.86,Flood,U,1,1,7.2,2137,0.03,0.06,0.71,2.19,1606.1,1067.7,534.2,129.2,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Towed Drift on Port side due to USGS tow going on concurrently,,abrady,ehubbard
,,YBFMP,STTD,,ES0222B0017,02/07/2022,10:17,,,,FIELD,abrady,TRUE,pfarman,"nikemiyagi, pfarman",3,CLR,0.70,10.1,12.82,671,482,8.31,Flood,U,1,2,11.2,219,0.05,0.07,0.5,2.19,1654.9,1095.3,546.7,30.36,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,changed flowmeter on 50 net,,abrady,ehubbard
,,YBFMP,LIS,,ES0222B0018,02/07/2022,14:12,,,,FIELD,pfarman,TRUE ,abrady,"nikemiyagi,abrady",3,CLR,0.53,10.6,11.16,699,507,8.11,Ebb,D,1,3,14,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,,abrady,ehubbard
,,YBFMP,SHR,,ES0222B0027,02/23/2022,10:01,,,,FIELD,abrady,TRUE,pfarman,"nikemiyagi, pfarman",3,CLR,2.12,11.2,10.62,158,116,7.89,High,D,1,1,5.7,2196,0.04,0.11,1,2.19,1639,1098.8,553.4,209.6,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,End of pole,added field comment ,ehubbard,lolson
,,YBFMP,STTD,,ES0222B0025,02/22/2022,9:52,,,,FIELD,jrobinson,TRUE,pfarman,"abrady, pfarman",3,CLR,,11.3,10.9,579,428,8.71,Flood,U,1,2,9.3,1828,0.05,0.26,0.68,2.19,1399,913,456.8,45.77,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Secchi past 1meter,,ehubbard,lolson
,,YBFMP,LIS,,ES0222B0026,02/22/2022,12:42,,,,FIELD,jrobinson,TRUE,abrady,"pfarman, abrady",3,CLR,0.32,12.1,8.54,783,590,8.54,Ebb,D,1,2,23,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,,ehubbard,lolson
,,YBFMP,STTD,,ES0322B0033,03/14/2022,9:27,,,,FIELD,ehubbard,TRUE,abrady,"abrady,jrobinson",3,CLR,0.30,14.1,15.73,874,692,8.67,Ebb,D,1,2,22.2,1739.2,0.08,0.19,0.33,1.16,1325.5,892.4,431.4,17.34,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Ebb flow not strong enough, so nets were sampled from boat",,ehubbard,lolson
,,YBFMP,LIS,,ES0322B0034,03/14/2022,12:33,,,,FIELD,ehubbard,TRUE,jrobinson,"abrady,jrobinson",3,CLR,0.34,15.1,9.78,856,694,8.2,Flood,U,1,2,23.3,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,,ehubbard,lolson
,,YBFMP,SHR,,ES0322B0035,03/15/2022,8:37,,,,FIELD,ehubbard,TRUE,jrobinson,"jrobinson, mbedwell",1,CLD,1.75,13.3,10.15,150,117,7.79,Ebb,D,1,2,4,884.9,0.02,0.05,0.12,2.19,668,447.8,221.2,38.58,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,,ehubbard,lolson
,,YBFMP,STTD,,ES0322B0041,03/28/2022,8:01,,,,FIELD,abrady,TRUE,pfarman,"jrobsinson, pfarman",1,CLD,0.28,17.2,6.29,715,608,7.91,Ebb,D,1,2,21.1,238.7,0.06,0.13,0.39,1.4,179.17,119.1,56.62,2.41,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,ehubbard,lolson
,,YBFMP,LIS,,ES0322B0042,03/28/2022,10:44,,,,FIELD,abrady,TRUE,pfarman,pfarman,1,RAN,1.12,16.8,6.61,744,627,7.67,Low,N,1,2,9,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,Changed turbidity from 19 to 9,ehubbard,lolson
,,YBFMP,SHR,,ES0322B0043,03/29/2022,9:00,,,,FIELD,strombly,TRUE,abrady,"jrobinson, abrady",1,CLR,1.57,16.4,8.8,149,124,7.38,Ebb,D,1,1,5.2,2076,0.06,0.15,0.69,2.19,1546.1,1033.7,515.2,72.33,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,light attenuation end of pole >2.19meters. Lower time for Zoop and drift nets due to high silt,Added comment about lower time for drift and zoop nets,ehubbard,lolson
,,YBFMP,STTD,,ES0422B0049,04/11/2022,8:05,,,,FIELD,jrobinson,TRUE,abrady,"mbedwell, abrady",3,RAN,0.36,17.0,7.36,836,708,7.99,Ebb,D,1,2,22.7,401.5,0.06,0.15,0.37,1.36,300.3,200.3,100.3,4.02,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Sampled from Jonboat,Changed DO.probe from 7.39 to 7.36. Added comment about sampling from the Jonboat.,ehubbard,lolson
,,YBFMP,LIS,,ES0422B0050,04/11/2022,11:03,,,,FIELD,abrady,TRUE,jrobinson,"mbedwell, jrobinson",3,CLD,0.51,16.2,8.23,624,520,7.9,Ebb,D,1,2,20.4,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,,ehubbard,lolson
,,YBFMP,SHR,,ES0422B0051,04/12/2022,8:26,,,,FIELD,pfarman,TRUE,jadams,"jrobinson, jadams",3,CLR,1.46,15.5,9.39,147,120,7.52,Ebb,D,1,1,8.9,2083,0.3,0.5,1.01,2.19,1558.9,1043.3,520.3,144.9,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,light attenuation end of pole on last one. Shortened zoop and drift tow due to high silt.,Added comment about lower time for drift and zoop nets,ehubbard,lolson
,,YBFMP,STTD,,ES0422B0099,04/25/2022,8:07,,,,FIELD,abrady,TRUE,nkwan ,"nkwan, jrobinson",3,CLD,0.35,18.3,7.66,743,647,8.07,Ebb,D,1,1,22.8,2019,0.05,0.24,0.44,1.55,1512.3,1008.3,506.2,20.2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,switched to Flood tide by drift tow (last one),,ehubbard,lolson
,,YBFMP,LIS,,ES0422B0102,04/25/2022,10:56,,,,FIELD,nkwan,TRUE,abrady,"jrobinson, abrady",3,CLR,0.45,19.3,6.97,557,497,7.72,Flood,U,1,1,16.9,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,,ehubbard,lolson
,,YBFMP,SHR,,ES0422B0104,04/26/2022,8:55,,,,FIELD,cpien,TRUE,jrobinson,"jrobinson, jadams",1,CLR,1.25,17.2,9.13,140,120,10.1,Ebb,D,1,2,6.1,2131,0.05,0.2,0.91,2.19,1592,1067,534,93.9,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,pH probe reading high due to not working right,Added in the comment why the pH probe was not working (due to reading high),ehubbard,lolson
,,YBFMP,STTD,,ES0522B0115,05/09/2022,10:39,,,,FIELD,abrady,TRUE,jrobinson,"jrobsinson, ehubbard",2,CLR,0.58,17.9,9.34,276,239,8.91,High,N,1,2,10.4,2492,0.05,0.37,0.84,2.19,1875.9,1244.6,621.5,92.7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,light attenuation end of pole,Changed Sampling Number from ES0522B0015 to ES0522B0115,ehubbard,lolson
,,YBFMP,LIS,,ES0522B0116,05/09/2022,9:09,,,,FIELD,ehubbard,TRUE,abrady,"jrobinson, abrady",2,CLD,0.32,18.4,8.02,751,656,8.14,Flood,U,1,2,20.4,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,,ehubbard,lolson
