Optional; From FLIMS,Optional; From FLIMS,"YBFMP (SHR, STTD, LIS); NDFA (All others); Shared (SHR, STTD, LIS during NDFS season)",Our station codes,From FLIMS/WDL. See Station Name to Number Tab.,Use sample code from FLIMS/WDL to connect field data and lab data,"Sampling Date; one station code-date/time combination per ""Sampling""","Sampling Time; one station code-date/time combination per ""Sampling""","Optional; for duplicate/replicate FIELD samples; individual sample numbers can be different between field and lab data, and can have two different times. Leave blank if NA.",Optional; for duplicate/replicate FIELD samples; individual sample collection date/time can be different between field and lab data. Leave blank if NA.,Optional; E.g. for duplicates/replicates or if we were collecting at different depths; individual sample collection date/time can be different between field and lab data. Leave blank if NA.,Should all be FIELD,,TRUE/FALSE,,,YSI Number,,,,,,,,,,,,,,,,,,,,,,Data Type Collected? True/False,Data Type Collected? True/False,Data Type Collected? True/False,Data Type Collected? True/False,Data Type Collected? True/False,Data Type Collected? True/False,Data Type Collected? True/False,Data Type Collected? True/False,Comments pertaining to WQ collection,Anything important to note that was corrected from field sheet or during QAQC,,
Run Number ,Run Name,Measuring Program Name,Station Name,Station Number,Sampling Number (event),WDL SAM_COLLECTION_DATE,Collection Time,Sample Number,Sample Date,Sample Time,LabOrField,Recorder,Field Check,FieldChecker,Crew,YSI,WeatherCode,secchi,water.temp,DO.probe,sp.cond,EC,pH,Tide,FlowDirection,microcyst,VegRank,turb,SurfaceIrr,Depth1Irr,Depth2Irr,Depth3Irr,Depth4Irr,SubIrr1,SubIrr2,SubIrr3,SubIrr4,LightData,DriftData,LarvalData,150_ZoopsData,50_ZoopsData,PhytoData,ChlData,NutrData,FieldComments_WQ,DataCorrectionComments,EnteredBy,QAQCBy
,,,,,WDL_SAM Code,"mm/dd/yyyy 2 digits per month, day",hh:mm (PST) ,,"mm/dd/yyyy 2 digits per month, day",hh:mm (PST),,,Boolean,,,SCAL,SCAL,M,DEGC,MGL,MISM,MISM,SCAL,Tide,U/D/N,SCAL,SCAL,FNU,M,M,M,M,M,UMSM,UMSM,UMSM,UMSM,BOOLEAN,BOOLEAN,BOOLEAN,BOOLEAN,BOOLEAN,BOOLEAN,BOOLEAN,BOOLEAN,,,,
,,YBFMP,STTD,,ES1120B0485,11/17/2020,10:25,,,,FIELD,nikemiyagi,TRUE,,"mbedwell,hhudson",1,CLD,2.00,12.3,10.5,204,155,8.07,Ebb,,1,2,3.8,936.7,0.03,0.07,0.28,2.19,705.9,470.2,232.7,82.08,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,went to end of pole for 1% reading,corrected field crew,abrady,pfarman
,,YBFMP,LIS,,ES1120B0486,11/17/2020,13:41,,,,FIELD,mbedwell,TRUE ,,"nikemiyagi,hhudson",1,RAN,0.42,12.5,8.11,296,226,7.83,Flood,,1,2,15.96,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,,abrady,pfarman
,,YBFMP,SHR,,ES1120B0487,11/16/2020,10:25,,,,FIELD,nikemiyagi,TRUE,,"acasby,hhudson",2,CLD,3.00,11.4,10.43,142,105,7.48,Ebb,,1,1,3.4,2236,0.04,0.08,0.91,2.19,1579.2,1108,559.4,198.9,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,,abrady,pfarman
,,YBFMP,LIS,,ES0220B0018,02/10/2020,12:53,,,,FIELD,acasby,TRUE,,"nikemiyagi,jrobinson",3,CLR,0.23,10.1,10.8,656,469,8.1,Ebb,,1,1,29.2,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,,abrady,pfarman
,,YBFMP,SHR,,ES0220B0019,02/11/2020,9:25,,,,FIELD,mbedwell,TRUE,,"acasby,jrobinson",1,CLR,0.50,9.7,10.91,216,153,7.63,Ebb,,1,1,13.1,2072,0.04,0.07,0.4,2.1,1540.6,1032,514.8,20.04,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,,abrady,pfarman
,,YBFMP,LIS,,ES0320B0034,03/10/2020,11:19,,,,FIELD,cstuart,TRUE,,"nikemiyagi,mbedwell",1,CLR,0.33,14.5,9.7,853,682,8.11,Ebb,,1,1,23.4,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,,abrady,pfarman
,,YBFMP,STTD,,ES0320B0033,03/10/2020,9:51,,,,FIELD,mbedwell,TRUE,,"nikemiyagi,cstuart",1,CLR,0.35,13.8,9.09,881,693,7.62,Ebb,,1,1,18.4,1833.8,0.02,0.04,0.07,1,1335.1,923.3,457.7,18.07,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,abrady,pfarman
,,YBFMP,SHR,,ES0320B0035,03/09/2020,8:58,,,,FIELD,acasby,TRUE,,"cstuart, cpien",3,CLR,1.10,13.1,10.09,165,127,7.8,Ebb,,1,1,7.6,1715.5,0.05,0.07,0.34,2.48,1272.7,856.2,428.1,32.3,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,,abrady,pfarman
,,YBFMP,LIS,,ES0220B0026,02/24/2020,11:39,,,,FIELD,mbedwell,TRUE,,"acasby,cstaurt",2,CLR,0.26,13.2,9.8,850,659,8.03,Ebb,,1,1,27.1,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,,abrady,pfarman
,,YBFMP,STTD,,ES0220B0025,02/24/2020,9:47,,,,FIELD,mbedwell,TRUE,,"acasby,cstaurt",2,CLR,0.42,13.2,9.41,824,638,7.96,Ebb,,1,1,17.1,2018,0.04,0.1,0.37,1.5,1580.3,1011,505.6,20.39,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,abrady,pfarman
,,YBFMP,SHR,,ES0220B0027,02/25/2020,9:22,,,,FIELD,mbedwell,TRUE,,"acasby,cstaurt",3,CLR,0.95,12.2,10.56,167,126,7.73,high,,1,1,9.1,2179,0.03,0.06,0.58,2.19,1632.9,1080.9,543.7,78.77,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,end of pole to handle for light attenuation,corrected 4th light depth value,abrady,pfarman
,,YBFMP,SHR,,ES0421B0037,04/26/2021,9:13,,,,FIELD,nikemiyagi,TRUE,mbedwell,"mbedwell, hhudson",1,CLR,0.85,16.9,8.82,138,117,7.82,Ebb,,1,1,6.9,2307,0.04,0.31,0.89,2.48,1728.3,1153.9,573.9,94.2,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,,pfarman,abrady
,,YBFMP,LIS,,ES0421B0036,04/27/2021,12:02,,,,FIELD,hhudson,TRUE,nkwan ,"nikemiyagi, nkwan",2,CLR,0.37,17.6,6.91,559,480,7.82,Ebb,,1,1,15.9,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,,pfarman,abrady
,,YBFMP,STTD,,ES0421B0035,04/27/2021,9:33,,,,FIELD,nkwan,TRUE,nikemiyagi,"hhudson, nikemyagi",2,CLR,0.37,16.9,8,547,462,7.98,Ebb,,1,1,18.3,2095,0.09,0.26,0.56,1.71,1564.7,1050.3,523.5,20.91,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,pfarman,abrady
,,YBFMP,SHR,,ES0521B0062,05/10/2021,9:55,,,,FIELD,nikemiyagi,TRUE,abrady,"hhudson, abrady",2,CLR,2.10,20.5,8.29,146,134,7.5,Ebb,,1,1,5.9,2375,0.07,0.33,1.26,2.48,1768,1189.6,594.6,164.83,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,pfarman,abrady
,,YBFMP,LIS,,ES0521B0061,05/11/2021,12:26,,,,FIELD,ldixit,TRUE,nkwan ,"nikemiyagi, nkwan",2,CLR,0.39,22.2,6.79,762,722,8.16,Ebb,,1,1,20.4,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,,pfarman,abrady
,,YBFMP,STTD,,ES0521B0060,05/11/2021,9:31,,,,FIELD,nikemiyagi,TRUE,nkwan ,"nkwan, ldixit",2,CLR,0.45,20.0,7.76,264,238,7.84,Ebb,,1,2,16.1,2258,0.06,0.25,0.56,1.83,1692,1127,565,22.51,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,pfarman,abrady
,,YBFMP,LIS,,ES0521B0069,05/25/2021,12:52,,,,FIELD,abrady,TRUE,hhudson,"hhudson, cpien",2,CLR,0.30,23.8,8.25,292,285,8.08,Flood,,1,1,37.8,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,,ehubbard,pfarman
