IEPFishCode,CommonName ,ScientificName,Family,,,,,,,,,,,,,
REDBAS ,Redeye Bass ,Micropterus coosae,Centrarchidae,,,,,,,,,,,,,
REDSUR,Redtail Surfperch ,Amphistichus rhodoterus,Embiotocidae,,,,,,,,,,,,,
RIFSCU ,Riffle Sculpin ,Cottus gulosus,Cottidae,,,,,,,,,,,,,
RIVLAM,River Lamprey ,Lampetra ayresii,Petromyzontidae,,,,,,,,,,,,,
ROKSOL,Rock Sole ,Lepidopsetta bilineata,Pleuronectidae,,,,,,,,,,,,,
RSYSHN ,Rosyface Shiner ,Notropis rubellus,Cyprinidae,,,,,,,,,,,,,
RUBSEA,Rubberlip Seaperch ,Rhacochilus toxotes,Embiotocidae,,,,,,,,,,,,,
SACPER,Sacramento Perch ,Archoplites interruptus,Centrarchidae,,,,,,,,,,,,,
SACBLA,Sacramento Blackfish ,Orthodon microlepidotus,Cyprinidae,,,,,,,,,,,,,
SACPIK,Sacramento Pikeminnow ,Ptychoceilus grandis,Cyprinidae,,,,,,,,,,,,,
SACSUC,Sacramento Sucker ,Catostomus occidentalis,Catostomidae,,,,,,,,,,,,,
SADGUN,Saddleback Gunnel ,Pholis ornata,Pholidae,,,,,,,,,,,,,
SADSCU ,Saddleback Sculpin ,Oligocottus rimensis,Cottidae,,,,,,,,,,,,,
SANSOL,Sand Sole ,Psettichthys melanostictus,Pleuronectidae,,,,,,,,,,,,,
SCASCU ,Scalyhead Sculpin ,Artedius harringtoni ,Cottidae,,,,,,,,,,,,,
SHIGOB,Shimofuri Goby ,Tridentiger bifasciatus,Gobiidae,,,,,,,,,,,,,
SHIPER,Shiner Perch ,Cymatogaster aggregata,Embiotocidae,,,,,,,,,,,,,
SHOGOB,Shokihaze Goby ,Tridentiger barbatus,Gobiidae,,,,,,,,,,,,,
SHOGUI ,Shovelnose Guitarfish ,Rhinobatos productus ,Rhinobatidae,,,,,,,,,,,,,
SHOSNA ,Showy Snailfish ,Liparis pulchellus ,Liparidae,,,,,,,,,,,,,
SILSUR,Silver Surfperch ,Hyperprosopon ellipticum,Embiotocidae,,,,,,,,,,,,,
SLISNA ,Slipskin Snailfish ,Liparis fucensis ,Liparidae,,,,,,,,,,,,,
SMABAS,Smallmouth Bass ,Micropterus dolomieu,Centrarchidae,,,,,,,,,,,,,
SNAPRI ,Snake Prickleback ,Lumpenus sagitta ,Stichaeidae,,,,,,,,,,,,,
SPEDAC ,Speckled Dace ,Rhinichthys osculus,Cyprinidae,,,,,,,,,,,,,
SPESAN,Speckled Sanddab ,Citharichthys stigmaeus,Paralichthyidae,,,,,,,,,,,,,
SPIDOG,Spiny Dogfish ,Squalus acanthias,Squalidae,,,,,,,,,,,,,
SPLITT,Splittail ,Pogonichthys macrolepidotus,Cyprinidae,,,,,,,,,,,,,
SPOSUR,Spotfin Surfperch ,Hyperprosopon anale,Embiotocidae,,,,,,,,,,,,,
SPOBAS,Spotted Bass ,Micropterus punctulatus,Centrarchidae,,,,,,,,,,,,,
SPOCEE ,Spotted Cusk-Eel ,Chilara taylori ,Ophidiidae,,,,,,,,,,,,,
STAFLO,Starry Flounder ,Platichthys stellatus,Pleuronectidae,,,,,,,,,,,,,
RAITRO,Steelhead ,Oncorhynchus mykiss,Salmonidae,,,,,,,,,,,,,
STRBAS,Striped Bass ,Morone saxatilis,Moronidae,,,,,,,,,,,,,
STRBA0,Striped Bass age-0 ,Morone saxatilis,Moronidae,,,,,,,,,,,,,
STRBA1,Striped Bass age-1 ,Morone saxatilis,Moronidae,,,,,,,,,,,,,
STRBA2,Striped Bass age-2 ,Morone saxatilis,Moronidae,,,,,,,,,,,,,
STRBA3 ,Striped Bass age-3+ ,Morone saxatilis,Moronidae,,,,,,,,,,,,,
STRMUL,Striped Mullet ,Mugil cephalus,Mugilidae,,,,,,,,,,,,,
STRKEL ,Striped Kelpfish ,Gibbonsai metzi ,Clinidae,,,,,,,,,,,,,
STRSEA ,Striped Seaperch ,Embiotoca lateralis ,Embiotocidae,,,,,,,,,,,,,
STRRON ,Stripedfin Ronquil ,Rathbunella hypoplecta ,Bathymasteridae,,,,,,,,,,,,,
SURSME,Surf Smelt ,Hypomesus pretiosus,Osmeridae,,,,,,,,,,,,,
THORNB ,Thornback ,Platyrhinoidis triseriata ,Platyrhinidae,,,,,,,,,,,,,
THRSHA,Threadfin Shad ,Dorosoma petenense,Clupeidae,,,,,,,,,,,,,
THRSTI,Threespine Stickleback ,Gasterosteus aculeatus,Gasterosteidae,,,,,,,,,,,,,
THRSHR ,Thresher Shark ,Alopias vulpinus ,Alopiidae,,,,,,,,,,,,,
TIDSCU ,Tidepool Sculpin ,Oligocottus maculosus ,Gottidae,,,,,,,,,,,,,
TIDGOB,Tidewater Goby ,Eucyclogobius newberryi,Gobiidae ,,,,,,,,,,,,,
TOPSME,Topsmelt ,Atherinops affinis,Atherinopsidae,,,,,,,,,,,,,
TUBSNO ,Tubesnout ,Aulorhynchus flavidus ,Aulorhynchidae,,,,,,,,,,,,,
